Date,Open,High,Low,Close,Adj Close,Volume
2016-06-30,12.602900,12.741900,12.253600,12.461500,12.461500,15801300
2016-07-01,12.438100,12.491300,11.733500,12.199500,12.199500,17236500
2016-07-02,12.216000,12.220900,11.950200,12.128400,12.128400,8987070
2016-07-03,12.120800,12.145200,11.589100,11.720200,11.720200,10588700
2016-07-04,11.696100,11.880200,11.389500,11.471000,11.471000,12943500
2016-07-05,11.457400,11.517800,9.576260,10.611400,10.611400,45526900
2016-07-06,10.575800,11.105600,10.280800,10.528900,10.528900,18137300
2016-07-07,10.535900,10.565800,9.803210,10.109400,10.109400,15407200
2016-07-08,10.115300,11.524800,9.961260,11.394600,11.394600,20039800
2016-07-09,11.417700,11.456700,10.729500,10.965500,10.965500,17254800
2016-07-10,10.960400,11.013700,10.782200,10.947600,10.947600,5479240
2016-07-11,10.941100,11.009300,10.260200,10.459000,10.459000,13098000
2016-07-12,10.447000,10.762000,10.425800,10.516100,10.516100,11127700
2016-07-13,10.506600,10.589500,10.403900,10.500500,10.500500,6715660
2016-07-14,10.596900,11.681900,10.596900,11.513200,11.513200,23621900
2016-07-15,11.499100,12.431300,11.490000,11.951600,11.951600,26838900
2016-07-16,11.919400,11.935900,11.592400,11.652800,11.652800,10445700
2016-07-17,11.623500,11.670300,11.007400,11.158700,11.158700,17921600
2016-07-18,11.173000,11.610100,10.948300,11.034400,11.034400,15931900
2016-07-19,11.046600,12.013900,11.010300,11.619100,11.619100,21730000
2016-07-20,11.590200,12.991400,11.566900,12.450600,12.450600,60226100
2016-07-21,12.460100,12.710300,11.993700,12.650700,12.650700,24636900
2016-07-22,12.657500,14.813400,12.539900,14.661900,14.661900,74779504
2016-07-23,14.665500,14.898900,14.049700,14.299700,14.299700,32489700
2016-07-24,14.295800,14.437400,12.316100,12.749500,12.749500,77750800
2016-07-25,12.743400,13.857000,12.683800,13.836100,13.836100,36673800
2016-07-26,13.816100,13.851100,11.727200,11.989500,11.989500,94428800
2016-07-27,12.050500,13.311900,11.835700,12.972800,12.972800,58278800
2016-07-28,12.979100,12.988200,12.492700,12.843600,12.843600,24603900
2016-07-29,12.836400,12.870600,12.554200,12.794600,12.794600,14082300
2016-07-30,12.797400,12.801300,12.461000,12.461000,12.461000,9047810
2016-07-31,12.439700,12.509800,11.547200,11.875900,11.875900,25441400
2016-08-01,11.894800,12.013700,10.941600,10.941600,10.941600,23999500
2016-08-02,10.948500,11.137200,8.200980,8.787280,8.787280,88803296
2016-08-03,8.876800,10.418000,8.876800,10.293900,10.293900,53979400
2016-08-04,10.311000,11.291200,10.156400,11.042800,11.042800,38151400
2016-08-05,11.019000,11.176400,10.763200,10.925400,10.925400,15487900
2016-08-06,10.916700,10.937600,10.285800,10.881100,10.881100,16712600
2016-08-07,10.859200,11.089600,10.780000,10.911600,10.911600,16551000
2016-08-08,10.913500,11.328800,10.859000,11.245400,11.245400,14956700
2016-08-09,11.274600,12.454600,11.200000,12.244300,12.244300,36656600
2016-08-10,12.229800,12.457800,11.982500,12.143200,12.143200,28096300
2016-08-11,12.138200,12.272400,11.633800,11.690900,11.690900,17505000
2016-08-12,11.688900,12.041600,11.635100,11.778500,11.778500,13690100
2016-08-13,11.770400,11.791100,11.511800,11.571300,11.571300,7539490
2016-08-14,11.583300,11.694600,11.099100,11.194800,11.194800,8680160
2016-08-15,11.201700,11.310800,11.000100,11.218400,11.218400,7500840
2016-08-16,11.228700,11.237300,11.002800,11.139700,11.139700,7051510
2016-08-17,11.133200,11.154800,10.748600,10.752800,10.752800,8833760
2016-08-18,10.747500,11.009100,10.744800,10.756100,10.756100,6935800
2016-08-19,10.746300,10.801100,10.727900,10.748700,10.748700,5390850
2016-08-20,10.750100,11.300700,10.749100,11.247400,11.247400,7443540
2016-08-21,11.253300,11.253800,10.993900,11.179200,11.179200,4355660
2016-08-22,11.185100,11.340800,11.075000,11.120900,11.120900,6588920
2016-08-23,11.137000,11.230000,10.898000,11.030600,11.030600,6489380
2016-08-24,11.024300,11.154600,11.009500,11.036000,11.036000,4423420
2016-08-25,11.031300,11.385100,11.016800,11.357400,11.357400,8552380
2016-08-26,11.352400,11.445400,11.211300,11.295400,11.295400,5857850
2016-08-27,11.294000,11.294000,11.139500,11.148200,11.148200,15108400
2016-08-28,11.147000,11.147000,10.920000,10.929300,10.929300,5303040
2016-08-29,10.915100,11.146200,10.789800,10.983800,10.983800,8130540
2016-08-30,10.992100,11.303600,10.958800,11.228900,11.228900,7221260
2016-08-31,11.238600,11.680200,11.183900,11.672400,11.672400,11073700
2016-09-01,11.670500,12.581500,11.648500,11.994900,11.994900,24051500
2016-09-02,11.964200,12.313300,11.882400,12.113000,12.113000,9368300
2016-09-03,12.112900,12.363600,11.347200,11.758700,11.758700,13358800
2016-09-04,11.754100,11.793600,11.473900,11.679900,11.679900,7220550
2016-09-05,11.680500,11.806600,11.594000,11.717000,11.717000,5724100
2016-09-06,11.725400,11.728400,11.472800,11.689100,11.689100,6346330
2016-09-07,11.694500,11.726300,11.515000,11.547900,11.547900,6115050
2016-09-08,11.545800,11.701400,11.252400,11.345900,11.345900,11535000
2016-09-09,11.412500,11.680000,11.386900,11.652800,11.652800,6109200
2016-09-10,11.662300,12.215100,11.543700,12.168500,12.168500,7220300
2016-09-11,12.207900,12.207900,11.589700,11.638400,11.638400,8791180
2016-09-12,11.643000,11.947000,11.613600,11.893700,11.893700,7478080
2016-09-13,11.888700,12.085600,11.880800,11.918700,11.918700,11704300
2016-09-14,11.904600,11.997200,11.855900,11.923200,11.923200,5694820
2016-09-15,11.943100,12.135400,11.922700,11.937000,11.937000,7309090
2016-09-16,11.959600,12.748600,11.902900,12.555800,12.555800,17421500
2016-09-17,12.558200,12.763000,12.442400,12.698600,12.698600,7446610
2016-09-18,12.686400,12.987300,12.155500,12.431200,12.431200,22433300
2016-09-19,12.436000,13.189000,12.417500,13.189000,13.189000,13838800
2016-09-20,13.213900,14.430300,13.119800,14.430300,14.430300,31929100
2016-09-21,14.434100,14.434100,13.170200,13.768500,13.768500,28645000
2016-09-22,13.665000,13.665000,12.478600,13.247600,13.247600,27382800
2016-09-23,13.208000,13.446900,13.101600,13.331300,13.331300,9166430
2016-09-24,13.322300,13.343000,12.681700,12.877900,12.877900,9824880
2016-09-25,12.852500,13.107500,12.797500,13.100900,13.100900,5283440
2016-09-26,13.169600,13.169600,12.740200,12.823100,12.823100,7213070
2016-09-27,12.863900,13.211400,12.855900,13.098300,13.098300,6831070
2016-09-28,13.107400,13.483800,13.081300,13.274800,13.274800,10239000
2016-09-29,13.276800,13.336100,13.073400,13.073400,13.073400,5990630
2016-09-30,13.076000,13.342700,13.024500,13.224800,13.224800,5950840
2016-10-01,13.203200,13.309100,13.045600,13.172700,13.172700,6331160
2016-10-02,13.180200,13.295900,13.143100,13.199700,13.199700,4079660
2016-10-03,13.203000,13.485200,13.187200,13.452400,13.452400,7458320
2016-10-04,13.450500,13.531000,13.211500,13.277000,13.277000,8348280
2016-10-05,13.283400,13.346700,13.035700,13.035700,13.035700,9881370
2016-10-06,13.026300,13.143600,12.686800,12.854300,12.854300,12044800
2016-10-07,12.851600,12.990200,12.534700,12.667100,12.667100,8933050
2016-10-08,12.674000,12.686900,12.045500,12.219100,12.219100,11611200
